apm,apm_variance,error_rate,action_gap_mean,apm_vs_baseline,replay_id,player_id,window_idx,match_pct,fatigue_score,fatigue_binary
690.0,1018.5,0.1848,0.0867,0.6507,rep_00092,rep_00092_p0,4,0.485,0.0,0
620.0,381.0,0.1645,0.0967,0.4833,rep_00092,rep_00092_p0,5,0.606,0.0,0
758.0,744.5,0.1623,0.0787,0.8134,rep_00092,rep_00092_p0,6,0.727,0.0,0
701.0,574.25,0.1412,0.0849,0.677,rep_00092,rep_00092_p0,7,0.848,0.0,0
602.0,21.0,0.3929,0.0997,0.1197,rep_00092,rep_00092_p1,0,0.0,0.0424,0
414.5,252.6875,0.2955,0.1447,-0.2291,rep_00092,rep_00092_p1,1,0.121,0.1291,0
585.0,136.75,0.1838,0.1024,0.088,rep_00092,rep_00092_p1,2,0.242,0.0,0
610.5,927.1875,0.1704,0.0982,0.1355,rep_00092,rep_00092_p1,3,0.364,0.0,0
617.5,493.1875,0.1822,0.0968,0.1485,rep_00092,rep_00092_p1,4,0.485,0.0,0
537.5,112.6875,0.1656,0.1116,-0.0003,rep_00092,rep_00092_p1,5,0.606,0.0,0
602.5,2301.1875,0.2216,0.0996,0.1206,rep_00092,rep_00092_p1,6,0.727,0.0,0
546.0,2779.5,0.2051,0.1099,0.0155,rep_00092,rep_00092_p1,7,0.848,0.0,0
584.5,707.1875,0.1711,0.1026,0.0165,rep_00096,rep_00096_p0,0,0.0,0.0,0
574.0,485.0,0.2152,0.1043,-0.0017,rep_00096,rep_00096_p0,1,0.133,0.0404,0
586.0,107.5,0.2133,0.1024,0.0191,rep_00096,rep_00096_p0,2,0.267,0.0313,0
567.5,96.1875,0.2555,0.1057,-0.013,rep_00096,rep_00096_p0,3,0.4,0.1113,0
538.0,66.5,0.2398,0.1112,-0.0643,rep_00096,rep_00096_p0,4,0.533,0.123,0
575.0,708.25,0.2548,0.1042,0.0,rep_00096,rep_00096_p0,5,0.667,0.1009,0
578.0,612.5,0.3374,0.1037,0.0052,rep_00096,rep_00096_p0,6,0.8,0.2256,0
541.0,757.25,0.1885,0.111,0.0324,rep_00096,rep_00096_p1,0,0.0,0.0122,0
492.0,1041.5,0.1738,0.1218,-0.0611,rep_00096,rep_00096_p1,1,0.133,0.033,0
530.0,313.5,0.2292,0.1128,0.0115,rep_00096,rep_00096_p1,2,0.267,0.0796,0
570.0,1949.5,0.207,0.105,0.0878,rep_00096,rep_00096_p1,3,0.4,0.0428,0
686.0,614.5,0.1603,0.0875,0.3092,rep_00096,rep_00096_p1,4,0.533,0.0,0
733.0,202.25,0.1821,0.0819,0.3989,rep_00096,rep_00096_p1,5,0.667,0.0016,0
717.0,698.75,0.2085,0.0834,0.3683,rep_00096,rep_00096_p1,6,0.8,0.0453,0
572.5,3095.6875,0.207,0.1047,0.0044,rep_00104,rep_00104_p0,0,0.0,0.0219,0
609.5,614.1875,0.2797,0.0984,0.0693,rep_00104,rep_00104_p0,1,0.127,0.0448,0
622.5,2092.1875,0.2932,0.0964,0.0921,rep_00104,rep_00104_p0,2,0.253,0.0615,0
582.0,612.5,0.3411,0.1031,0.0211,rep_00104,rep_00104_p0,3,0.38,0.1312,0
537.0,774.75,0.3399,0.1115,-0.0579,rep_00104,rep_00104_p0,4,0.506,0.1843,0
633.5,2093.6875,0.3133,0.0947,0.1114,rep_00104,rep_00104_p0,5,0.633,0.0862,0
601.0,450.25,0.3145,0.0998,0.0544,rep_00104,rep_00104_p0,6,0.76,0.0877,0
550.0,199.5,0.1527,0.1091,0.0611,rep_00104,rep_00104_p1,0,0.0,0.0,0
